country_id,country_name,adm3_status,adm3_strategy,adm3_units_added,notes
CT_HTI,Haiti,seed_partial,adm2_to_adm3_via_commune_layer_working_seed,148,"ADM3 seeded from the commune layer beneath Haiti's departments and arrondissements. Public source pages disagree on total commune counts, so this batch is treated as a working seed built from the enumerated commune-by-arrondissement list."
CT_JAM,Jamaica,seed_partial,direct_adm1_to_adm3_via_settlement_seed,172,"ADM3 seeded directly beneath the 14 parishes using parish capitals, major towns, historic ports, Maroon communities, and other named settlements from the current Jamaica cities-and-towns list. ADM2 is intentionally skipped by design for Jamaica in this genealogy model."
CT_LBR,Liberia,seed_partial,adm2_to_adm3_via_nec_city_clan_township_seed,73,"ADM3 seeded from the NEC 2023 Phase One VRC dataset, using unique City/Clan/Township labels mapped to matching administrative districts in six counties only: Bomi, Gbarpolu, Grand Bassa, Grand Cape Mount, Margibi, and Montserrado. This is a partial ancestry-ready layer, not a complete national clan gazetteer."
CT_LCA,Saint Lucia,seed_partial,direct_adm1_to_adm3,24,ADM3 seeded directly beneath Saint Lucia's 10 quarters/districts using significant named settlements from the published cities list; ADM2 intentionally skipped by design.
CT_PRT,Portugal,seed_partial,adm2_to_adm3_via_municipality_anchor_seed,24,"ADM3 seeded one municipality-equivalent anchor beneath each selected Portugal ADM2 row. This is an ancestry-ready seed, not a full national gazetteer."
CT_SLE,Sierra Leone,seed_partial,adm2_to_adm3_via_chiefdom_layer,190,"ADM3 seeded from the current chiefdom layer beneath the existing district ADM2 structure. Sierra Leone uses chiefdoms as the third administrative level in the rural districts; Western Area Rural and Western Area Urban intentionally have no chiefdom rows. One Karene name was normalized to ""Mafonda Makerembay"" because the source list breaks it across lines, and spellings vary across public references."
CT_TGO,Togo,complete_seed,canton_layer,392,ADM3 seeded from the canton layer under each prefecture. The section counts on the source page enumerate 392 named canton entries even though the lead text cites 394 cantons.
CT_TTO,Trinidad and Tobago,seed_partial,mixed_direct_adm1_to_adm3_seed,284,"ADM3 seeded directly from the published list of cities, towns, settlements, and villages, mapped to the 15 current municipalities/regions and Tobago as an ancestry-ready mixed-island seed; ADM2 retained separately only for Tobago electoral districts."
CT_USA,United States,seed_partial,adm2_to_adm3_via_county_seat_principal_settlement_seed,80,"ADM3 seeded beneath the selected county/county-equivalent ADM2 rows using a county-seat or principal settlement anchor for each included county. This is an ancestry-ready diaspora-community seed, not a complete nationwide place gazetteer."
CT_VCT,Saint Vincent and the Grenadines,seed_partial,direct_adm1_to_adm3_via_parish_settlement_seed,71,ADM3 seeded directly beneath Saint Vincent and the Grenadines' 6 parishes using populated-place lists from the parish pages and the national towns/villages list. ADM2 is intentionally skipped by design for this genealogy model. This is an ancestry-ready partial seed rather than a complete national settlement gazetteer.
CT_STP,Sao Tome and Principe,seed_partial,direct_adm1_to_adm3_via_settlement_seed,14,ADM3 seeded directly from district/autonomous-region to settlement because ADM2 is intentionally skipped by design for this country. Seed includes the main listed towns and additional named settlements; it is ancestry-ready but not a complete national gazetteer.
